%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1494450150581827774,0,50,0,50,0
1494450150604188899,0,50,0,50,0
1494450150622125809,0,50,0,50,0
1494450150640494300,0,50,0,50,0
1494450150661073128,0,50,0,50,0
1494450150682093158,0,100,0,100,0
1494450150705394870,0,100,0,100,0
1494450150724437667,0,100,0,100,0
1494450150757110850,0,100,0,100,0
1494450150774793179,0,100,0,100,0
1494450150782059250,0,100,0,100,0
1494450150801068305,0,100,0,100,0
1494450151038344776,0,100,0,100,0
1494450151038357728,0,100,0,100,0
1494450151038395632,0,100,0,100,0
1494450151038418082,0,150,0,150,0
1494450151038424661,0,150,0,150,0
1494450151038486572,0,150,0,150,0
1494450151038492752,0,150,0,150,0
1494450151038504995,0,150,0,150,0
1494450151038512440,0,150,0,150,0
1494450151038518625,0,150,0,150,0
1494450151038535895,0,150,0,150,0
1494450151048439080,0,150,0,150,0
1494450151073991494,0,150,0,150,0
1494450151081770585,0,200,0,200,0
1494450151102364826,0,200,0,200,0
1494450151126708894,0,200,0,200,0
1494450151148807621,0,200,0,200,0
1494450151162010757,0,200,0,200,0
1494450151181163748,0,250,0,250,0
1494450151202647363,0,250,0,250,0
1494450151223553697,0,250,0,250,0
1494450151240636171,0,250,0,250,0
1494450151261964470,0,250,0,250,0
1494450151282860608,0,250,0,250,0
1494450151300718085,0,250,0,250,0
1494450151321511051,0,250,0,250,0
1494450151343717035,0,250,0,250,0
1494450151361679100,0,250,0,250,0
1494450151381290776,0,300,0,300,0
1494450151401723982,0,300,0,300,0
1494450151421409801,0,300,0,300,0
1494450151441980148,0,300,0,300,0
1494450151465469197,0,300,0,300,0
1494450151482565499,0,300,0,300,0
1494450151510044154,0,300,0,300,0
1494450151534213733,0,300,0,300,0
1494450151543697705,0,300,0,300,0
1494450151562109138,0,300,0,300,0
1494450151581512671,0,300,0,300,0
1494450151601531066,0,300,0,300,0
1494450151622152667,0,300,0,300,0
1494450151642480815,0,300,0,300,0
1494450151662403762,0,300,0,300,0
1494450151683947975,0,350,0,350,0
1494450151704671154,0,350,0,350,0
1494450151729889310,0,350,0,350,0
1494450151741853023,0,350,0,350,0
1494450151764863551,0,350,0,350,0
1494450151781638300,0,350,0,350,0
1494450151801132131,0,350,0,350,0
1494450151823118467,0,350,0,350,0
1494450151843591003,0,350,0,350,0
1494450151864690647,0,350,0,350,0
1494450151886473627,0,399,0,399,0
1494450151904418875,0,399,0,399,0
1494450151934509881,0,399,0,399,0
1494450151942871979,0,399,0,399,0
1494450151966703687,0,399,0,399,0
1494450151984370715,0,399,0,399,0
1494450152002317758,0,399,0,399,0
1494450152024368875,0,399,0,399,0
1494450152070870628,0,399,0,399,0
1494450152074217984,0,399,0,399,0
1494450152083273951,0,399,0,399,0
1494450152104594887,0,399,0,399,0
1494450152125698390,0,399,0,399,0
1494450152143634370,0,399,0,399,0
1494450152162392781,0,399,0,399,0
1494450152182460136,0,399,0,399,0
1494450152203325211,0,399,0,399,0
1494450152228400309,0,399,0,399,0
1494450152242603999,0,399,0,399,0
1494450152264722554,0,399,0,399,0
1494450152282323415,0,399,0,399,0
1494450152303880545,0,399,0,399,0
1494450152322721766,0,399,0,399,0
1494450152344061518,0,399,0,399,0
1494450152363279681,0,399,0,399,0
1494450152383349339,0,399,0,399,0
1494450152402293234,0,399,0,399,0
1494450152422085606,0,399,0,399,0
1494450152443576335,0,399,0,399,0
1494450152469723470,0,399,0,399,0
1494450152482460295,0,399,0,399,0
1494450152502023818,0,399,0,399,0
1494450152522231232,0,399,0,399,0
1494450152542268725,0,399,0,399,0
1494450152562199369,0,399,0,399,0
1494450152582906713,0,399,0,399,0
1494450152602589920,0,399,0,399,0
1494450152622664460,0,399,0,399,0
1494450152645575057,0,399,0,399,0
1494450152666287397,0,399,0,399,0
1494450152685078164,0,399,0,399,0
1494450152704052046,0,399,0,399,0
1494450152724949003,0,399,0,399,0
1494450152746410056,0,399,0,399,0
1494450152764442101,0,399,0,399,0
1494450152786186403,0,399,0,399,0
1494450152805875114,0,399,0,399,0
1494450152825468737,0,399,0,399,0
1494450152843945997,0,399,0,399,0
1494450152864277983,0,399,0,399,0
1494450152887896684,0,399,0,399,0
1494450152904266606,0,399,0,399,0
