%time,field.data
1494449908775084685,{ AA 55 4D 01 0F 40 5B 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 11 06 73 07 6F 06 06 02 00 00 0D 0E DC 06 86 FF EC FF B5 FF 84 FF E9 FF B1 FF 10 10 00 00 EF 0F F1 0F E1 0F E2 0F F1 0F 00 00 00 00 64 }
1494449908775093065,{ AA 55 4D 01 0F 54 5B 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 0F 06 73 07 6F 06 06 02 00 00 0D 0E DE 06 86 FF EC FF AF FF 88 FF ED FF B5 FF 10 10 00 00 EF 0F E9 0F E1 0F EB 0F EF 0F 00 00 00 00 75 }
1494449908775099649,{ AA 55 4D 01 0F 68 5B 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 11 06 70 07 6D 06 06 02 00 00 0D 0E E0 06 84 FF E7 FF BE FF 7F FF DC FF C4 FF 10 10 00 00 E1 0F EA 0F EC 0F F0 0F EE 0F 00 00 00 00 DD }
1494449908775107704,{ AA 55 4D 01 0F 7C 5B 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 16 06 70 07 6D 06 06 02 00 00 0D 0E E2 06 7C FF DA FF C5 FF 81 FF E2 FF C8 FF 10 10 00 00 E3 0F EE 0F F2 0F F2 0F ED 0F 00 00 00 00 A7 }
1494449908775117372,{ AA 55 53 01 0F 90 5B 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 16 06 6D 07 56 06 06 02 00 00 0D 14 E4 09 8C FF EC FF CC FF 99 FF EF FF CB FF A2 FF E7 FF C3 FF 10 10 00 00 EA 0F F3 0F EB 0F ED 0F EE 0F 00 00 00 00 D1 }
1494449908775131897,{ AA 55 4D 01 0F A4 5B 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 12 06 70 07 6E 06 06 02 00 00 0D 0E E7 06 A1 FF D7 FF BB FF 97 FF CB FF B9 FF 10 10 00 00 E9 0F EE 0F EA 0F E2 0F EF 0F 00 00 00 00 9D }
1494449908775140442,{ AA 55 4D 01 0F B8 5B 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 12 06 70 07 6E 06 06 02 00 00 0D 0E E9 06 8D FF CC FF BD FF 8B FF DA FF C7 FF 10 10 00 00 EA 0F E9 0F DF 0F E5 0F ED 0F 00 00 00 00 F9 }
1494449908775148724,{ AA 55 4D 01 0F CC 5B 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 12 06 6F 07 6D 06 06 02 00 00 0D 0E EB 06 93 FF E9 FF CF FF 9C FF F0 FF CF FF 10 10 00 00 E9 0F E9 0F E9 0F F2 0F EE 0F 00 00 00 00 CE }
1494449908775157984,{ AA 55 4D 01 0F E0 5B 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 10 06 6E 07 6D 06 06 02 00 00 0D 0E ED 06 9E FF EF FF C5 FF 9D FF EC FF BB FF 10 10 00 00 E5 0F EC 0F E6 0F EE 0F EE 0F 00 00 00 00 95 }
1494449908775165206,{ AA 55 4D 01 0F F4 5B 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 10 06 73 07 6D 06 06 02 00 00 0D 0E EF 06 9D FF E8 FF B8 FF 9E FF E4 FF BB FF 10 10 00 00 E3 0F EE 0F F2 0F F2 0F EE 0F 00 00 00 00 E0 }
