,labels,time,vleft,vright,vw,vx
310,False,1.55,5.0901,4.8626,-0.035076,0.17417
311,False,1.555,5.2087,5.0405,-0.025935,0.17936
312,False,1.56,4.8783,5.0507,0.026573,0.17376
313,False,1.565,5.1928,4.8763,-0.048807,0.17621
314,False,1.57,5.21,5.0772,-0.020484,0.18003
315,False,1.575,4.9,4.78,-0.0185,0.1694
316,False,1.58,4.7867,5.2203,0.066848,0.17512
317,False,1.585,5.1337,4.7963,-0.052027,0.17377
318,False,1.59,4.7925,4.917,0.019198,0.16992
319,False,1.595,5.1144,5.0755,-0.0059912,0.17832
320,False,1.6,4.9739,5.002,0.0043188,0.17458
321,False,1.605,5.0756,5.0155,-0.009276,0.17659
322,False,1.61,4.8348,4.9396,0.01616,0.17105
323,False,1.615,5.0157,5.1345,0.018306,0.17763
324,False,1.62,5.0669,4.8913,-0.027082,0.17427
325,False,1.625,4.757,5.0746,0.048967,0.17205
326,False,1.63,4.9852,5.2111,0.034831,0.17843
327,False,1.635,5.1932,4.9153,-0.042837,0.1769
328,False,1.64,4.807,5.1567,0.053919,0.17437
329,False,1.645,4.9713,5.1438,0.026604,0.17701
330,False,1.65,5.0798,4.8122,-0.041262,0.17311
331,False,1.655,4.8974,4.8287,-0.010591,0.17021
332,False,1.66,5.2252,4.9575,-0.041273,0.1782
333,False,1.665,5.0971,5.0937,-0.00053606,0.17834
334,False,1.67,4.8534,5.0789,0.034761,0.17381
335,False,1.675,5.0274,5.09,0.0096532,0.17705
336,False,1.68,5.1896,4.7547,-0.067062,0.17403
337,False,1.685,5.0289,4.8143,-0.033092,0.17226
338,False,1.69,5.1262,5.132,0.00089214,0.17952
339,False,1.695,5.1975,5.171,-0.0040848,0.18145
340,False,1.7,5.1709,5.1235,-0.0073157,0.18015
341,False,1.705,4.8154,5.2223,0.062728,0.17566
342,False,1.71,4.8446,5.2099,0.056321,0.17595
343,False,1.715,4.8268,4.8615,0.0053529,0.16955
344,False,1.72,4.7645,5.0049,0.037071,0.17096
345,False,1.725,4.7545,5.1439,0.060028,0.17322
346,False,1.73,5.0482,5.0112,-0.0057048,0.17604
347,False,1.735,5.0545,5.0587,0.00064315,0.17698
348,False,1.74,5.2095,5.0291,-0.027806,0.17918
349,False,1.745,5.1168,5.1155,-0.00019909,0.17906
350,False,1.75,4.9006,4.7817,-0.018328,0.16944
351,False,1.755,4.9978,4.9964,-0.00021493,0.1749
352,False,1.76,4.8791,4.865,-0.002177,0.17052
353,False,1.765,5.1164,4.9187,-0.030487,0.17561
354,False,1.77,4.8084,5.0258,0.033526,0.1721
355,False,1.775,5.123,5.1218,-0.00018162,0.17929
356,False,1.78,5.1549,4.9562,-0.030643,0.17694
357,False,1.785,5.1226,5.0038,-0.018318,0.17721
358,False,1.79,4.9186,4.8145,-0.016048,0.17033
359,False,1.795,5.0422,4.8574,-0.028485,0.17324
360,False,1.8,4.9845,4.8964,-0.013578,0.17292
361,False,1.805,4.7936,4.975,0.027962,0.17095
362,False,1.81,5.1644,4.8701,-0.045364,0.1756
