%time,field.data
1494450135452313371,{ AA 55 53 01 0F 54 D0 00 00 00 C8 AA 45 21 0C 0C 00 00 9C 00 03 03 00 00 00 04 07 DE 0B 58 00 00 00 00 05 06 10 06 70 07 6F 06 06 02 01 00 0D 14 0E 09 56 FF AC FF F6 FF 9C FF CE FF 18 00 E6 FF F7 FF 1F 00 10 10 00 00 E8 0F EB 0F EC 0F F4 0F EE 0F 00 00 00 00 90 }
1494450135452319769,{ AA 55 4D 01 0F 68 D0 00 00 00 CD AA 4B 21 0C 0B 00 00 9C 00 03 03 00 00 00 04 07 DF 0B 23 00 00 00 00 05 06 10 06 70 07 70 06 06 02 01 00 0D 0E 11 06 1F 00 1B 00 11 00 32 00 2B 00 F4 FF 10 10 00 00 E3 0F E9 0F EE 0F F6 0F ED 0F 00 00 00 00 6B }
1494450135452325181,{ AA 55 4D 01 0F 7C D0 00 00 00 D3 AA 51 21 0B 0A 00 00 9C 00 03 03 00 00 00 04 07 DF 0B F4 FF 00 00 00 05 06 FB 05 72 07 70 06 06 02 00 01 0D 0E 13 06 15 00 1B 00 D2 FF D4 FF F6 FF BA FF 10 10 00 00 E6 0F E6 0F E9 0F F4 0F EC 0F 00 00 00 00 F0 }
1494450135452331400,{ AA 55 4D 01 0F 90 D0 00 00 00 D8 AA 56 21 0B 0A 00 00 9C 00 03 03 00 00 00 04 07 DF 0B 1D 00 00 00 00 05 06 FA 05 72 07 6C 06 06 02 00 00 0D 0E 15 06 8A FF CE FF BD FF 4F FF AF FF D3 FF 10 10 00 00 E1 0F E9 0F EE 0F F2 0F EF 0F 00 00 00 00 98 }
1494450135452345480,{ AA 55 4D 01 0F A4 D0 00 00 00 DB AA 5A 21 0C 0B 00 00 9C 00 03 03 00 00 00 04 07 E0 0B 31 00 00 00 00 05 06 1C 06 72 07 6C 06 06 02 01 00 0D 0E 17 06 31 FF A2 FF E8 FF 36 FF AA FF F1 FF 10 10 00 00 E1 0F E7 0F EB 0F F4 0F EF 0F 00 00 00 00 81 }
1494450135452360107,{ AA 55 4D 01 0F B8 D0 00 00 00 E0 AA 5F 21 0C 0C 00 00 9C 00 03 03 00 00 00 04 07 E1 0B 36 00 00 00 00 05 06 1C 06 6E 07 6F 06 06 02 01 00 0D 0E 19 06 5C FF C6 FF F5 FF 9D FF ED FF F9 FF 10 10 00 00 DF 0F E6 0F E9 0F F3 0F EC 0F 00 00 00 00 7A }
1494450135452367377,{ AA 55 4D 01 0F CC D0 00 00 00 E7 AA 65 21 0B 0B 00 00 9C 00 03 03 00 00 00 04 07 E2 0B 1E 00 00 00 00 05 06 1C 06 6E 07 82 06 06 02 01 01 0D 0E 1B 06 E5 FF 0C 00 F8 FF 1B 00 1A 00 E8 FF 10 10 00 00 DC 0F E6 0F E9 0F F4 0F F1 0F 00 00 00 00 0E }
1494450135452373254,{ AA 55 4D 01 0F E0 D0 00 00 00 ED AA 6B 21 0A 0B 00 00 9C 00 03 03 00 00 00 04 07 E2 0B F1 FF 00 00 00 05 06 1C 06 6E 07 82 06 06 02 00 00 0D 0E 1D 06 2E 00 17 00 CF FF 1B 00 0C 00 B7 FF 10 10 00 00 E2 0F E5 0F E7 0F F1 0F EF 0F 00 00 00 00 48 }
1494450135452379882,{ AA 55 4D 01 0F F4 D0 00 00 00 F2 AA 70 21 0A 0B 00 00 9C 00 03 03 00 00 00 04 07 E1 0B D8 FF 00 00 00 05 06 12 06 6F 07 6E 06 06 02 00 00 0D 0E 1F 06 EE FF FD FF A4 FF AF FF EB FF 96 FF 10 10 00 00 E0 0F EA 0F E8 0F EB 0F F0 0F 00 00 00 00 A7 }
1494450135452389751,{ AA 55 53 01 0F 08 D1 00 00 00 F7 AA 74 21 0B 0C 00 00 9C 00 03 03 00 00 00 04 07 E0 0B D7 FF 00 00 00 05 06 12 06 6F 07 6E 06 06 02 00 00 0D 14 21 09 6E FF D7 FF 8C FF 3B FF CB FF 89 FF 27 FF CA FF 8C FF 10 10 00 00 DF 0F E3 0F E7 0F F2 0F EF 0F 00 00 00 00 EE }
1494450135452399429,{ AA 55 4D 01 0F 1C D1 00 00 00 FC AA 78 21 0C 0D 00 00 9C 00 03 03 00 00 00 04 07 DF 0B DD FF 00 00 00 05 06 12 06 6F 07 6E 06 06 02 00 00 0D 0E 24 06 37 FF D5 FF 90 FF 5F FF EA FF 93 FF 10 10 00 00 E3 0F E5 0F E5 0F F1 0F F0 0F 00 00 00 00 62 }
1494450135452410451,{ AA 55 4D 01 0F 30 D1 00 00 00 03 AB 7D 21 0B 0D 00 00 9C 00 03 03 00 00 00 04 07 DE 0B C8 FF 00 00 00 05 06 12 06 72 07 AD 06 06 02 01 01 0D 0E 26 06 91 FF 03 00 92 FF BF FF 18 00 84 FF 10 10 00 00 E8 0F E6 0F E7 0F EF 0F EF 0F 00 00 00 00 06 }
1494450135452418609,{ AA 55 4D 01 0F 44 D1 00 00 00 09 AB 83 21 0A 0C 00 00 9C 00 03 03 00 00 00 04 07 DC 0B 94 FF 00 00 00 05 06 12 06 72 07 AD 06 06 02 00 01 0D 0E 28 06 DF FF 21 00 6A FF E8 FF 1E 00 4F FF 10 10 00 00 E4 0F E2 0F E2 0F ED 0F EE 0F 00 00 00 00 D7 }
1494450135452426436,{ AA 55 4D 01 0F 58 D1 00 00 00 0F AB 88 21 0A 0B 00 00 9C 00 03 03 00 00 00 04 07 DA 0B 94 FF 00 00 00 05 06 02 06 73 07 77 06 06 02 00 01 0D 0E 2A 06 D7 FF 0E 00 42 FF B4 FF F7 FF 42 FF 10 10 00 00 F1 0F E9 0F E6 0F F0 0F ED 0F 00 00 00 00 42 }
1494450135452433945,{ AA 55 4D 01 0F 6C D1 00 00 00 14 AB 8D 21 0B 0B 00 00 9C 00 03 03 00 00 00 04 07 D8 0B A3 FF 00 00 00 05 06 00 06 73 07 77 06 06 02 00 00 0D 0E 2C 06 92 FF DF FF 47 FF 7F FF CE FF 4F FF 10 10 00 00 ED 0F EA 0F E3 0F EC 0F F0 0F 00 00 00 00 D3 }
1494450135452451349,{ AA 55 4D 01 0F 80 D1 00 00 00 1B AB 93 21 0A 0B 00 00 9C 00 03 03 00 00 00 04 07 D7 0B C0 FF 00 00 00 05 06 FA 05 6F 07 77 06 06 02 00 00 0D 0E 2E 06 7C FF C7 FF 5B FF 87 FF C7 FF 6B FF 10 10 00 00 E8 0F E9 0F E0 0F E5 0F EF 0F 00 00 00 00 88 }
1494450135452461750,{ AA 55 4D 01 0F 94 D1 00 00 00 21 AB 99 21 0A 0B 00 00 9C 00 03 03 00 00 00 04 07 D6 0B D3 FF 00 00 00 05 06 FA 05 70 07 6D 06 06 02 00 00 0D 0E 30 06 9F FF CD FF 79 FF BF FF D8 FF 84 FF 10 10 00 00 E9 0F EE 0F E4 0F E8 0F F0 0F 00 00 00 00 B6 }
